sale_id,sale_date,store,region,product,category,supplier,quantity,unit_price,unit_cost,revenue,gross_margin,member_id,is_member
5029,2025-01-05,Seattle Flagship,Puget Sound,Nimbus 20F Sleeping Bag,Camping,Olympic Down Works,1,259.00,104.00,259.00,155.00,1014,Y
5030,2025-01-05,Seattle Flagship,Puget Sound,Summit Shell Jacket,Apparel,Cascade Textiles,1,299.00,121.00,299.00,178.00,1033,Y
5031,2025-01-05,Seattle Flagship,Puget Sound,Basecamp 65L Pack,Camping,Olympic Down Works,1,229.00,96.00,229.00,133.00,,N
5032,2025-01-05,Boise,Inland,Summit Shell Jacket,Apparel,Cascade Textiles,1,299.00,121.00,299.00,178.00,1043,Y
5033,2025-01-05,Seattle Flagship,Puget Sound,Touring Ski Package,Snow,Nordvik Outdoor,1,949.00,412.00,949.00,537.00,1055,Y
5034,2025-01-05,Boise,Inland,Belay Device,Climbing,Kitsap Forge,1,49.00,19.00,49.00,30.00,1047,Y
5035,2025-01-05,Tacoma,Puget Sound,Belay Device,Climbing,Kitsap Forge,2,49.00,19.00,98.00,60.00,1001,Y
5036,2025-01-06,Boise,Inland,Fleece Quarter-Zip,Apparel,Cascade Textiles,2,79.00,31.00,158.00,96.00,1008,Y
5037,2025-01-06,Seattle Flagship,Puget Sound,Down Sweater,Apparel,Olympic Down Works,1,185.00,74.00,185.00,111.00,1059,Y
5038,2025-01-06,Seattle Flagship,Puget Sound,Sun Hoody,Apparel,Cascade Textiles,3,62.00,24.00,186.00,114.00,1053,Y
5039,2025-01-06,Seattle Flagship,Puget Sound,Nimbus 20F Sleeping Bag,Camping,Olympic Down Works,1,259.00,104.00,259.00,155.00,1009,Y
5040,2025-01-06,Seattle Flagship,Puget Sound,Fleece Quarter-Zip,Apparel,Cascade Textiles,2,79.00,31.00,158.00,96.00,1026,Y
5041,2025-01-06,Tacoma,Puget Sound,Alpaca Base Layer,Apparel,Andes Alpaca Co-op,1,78.00,29.00,78.00,49.00,1037,Y
5042,2025-01-06,Bellevue,Puget Sound,Alpaca Base Layer,Apparel,Andes Alpaca Co-op,2,78.00,29.00,156.00,98.00,1020,Y
5043,2025-01-06,Bellingham,North Cascades,Vertex Climbing Harness,Climbing,Kitsap Forge,1,105.00,43.00,105.00,62.00,1003,Y
5044,2025-01-06,Portland Pearl,Willamette,Backcountry Boot,Footwear,Fraser Valley Rubber,1,186.15,88.00,186.15,98.15,1049,Y
5045,2025-01-06,Tacoma,Puget Sound,Insulated Camp Bootie,Footwear,Andes Alpaca Co-op,3,59.00,22.00,177.00,111.00,,N
5046,2025-01-07,Tacoma,Puget Sound,Belay Device,Climbing,Kitsap Forge,1,41.65,19.00,41.65,22.65,1044,Y
5047,2025-01-07,Eugene,Willamette,Backcountry Boot,Footwear,Fraser Valley Rubber,1,219.00,88.00,219.00,131.00,1042,Y
5048,2025-01-07,Boise,Inland,Headlamp 400,Camping,Sanko Technical,2,44.00,16.00,88.00,56.00,,N
5049,2025-01-07,Bellevue,Puget Sound,Avalanche Beacon,Snow,Nordvik Outdoor,1,399.00,178.00,399.00,221.00,1056,Y
5050,2025-01-07,Boise,Inland,Snowshoe Kit,Snow,Kitsap Forge,1,152.15,76.00,152.15,76.15,1056,Y
5051,2025-01-07,Boise,Inland,Backcountry Boot,Footwear,Fraser Valley Rubber,1,219.00,88.00,219.00,131.00,1043,Y
5052,2025-01-07,Eugene,Willamette,Inflatable Kayak,Water,Fraser Valley Rubber,1,699.00,289.00,699.00,410.00,1002,Y
5053,2025-01-07,Bellevue,Puget Sound,Ski Skins,Snow,Nordvik Outdoor,1,199.00,84.00,199.00,115.00,1022,Y
5054,2025-01-07,Portland Pearl,Willamette,Summit Shell Jacket,Apparel,Cascade Textiles,1,299.00,121.00,299.00,178.00,1032,Y
5055,2025-01-08,Bellingham,North Cascades,Alpaca Base Layer,Apparel,Andes Alpaca Co-op,1,78.00,29.00,78.00,49.00,1019,Y
5056,2025-01-08,Seattle Flagship,Puget Sound,Snowshoe Kit,Snow,Kitsap Forge,1,179.00,76.00,179.00,103.00,1024,Y
5057,2025-01-08,Bellingham,North Cascades,Merino Hiking Socks,Apparel,Andes Alpaca Co-op,3,24.00,8.50,72.00,46.50,,N
5058,2025-01-08,Portland Pearl,Willamette,Avalanche Beacon,Snow,Nordvik Outdoor,1,399.00,178.00,399.00,221.00,1018,Y
5059,2025-01-08,Seattle Flagship,Puget Sound,Belay Device,Climbing,Kitsap Forge,1,49.00,19.00,49.00,30.00,1008,Y
5060,2025-01-08,Seattle Flagship,Puget Sound,Merino Hiking Socks,Apparel,Andes Alpaca Co-op,2,24.00,8.50,48.00,31.00,1004,Y
5061,2025-01-08,Seattle Flagship,Puget Sound,Fleece Quarter-Zip,Apparel,Cascade Textiles,1,79.00,31.00,79.00,48.00,1052,Y
5062,2025-01-08,Bellevue,Puget Sound,Headlamp 400,Camping,Sanko Technical,1,44.00,16.00,44.00,28.00,1030,Y
5063,2025-01-08,Bellevue,Puget Sound,Summit Shell Jacket,Apparel,Cascade Textiles,1,299.00,121.00,299.00,178.00,1054,Y
5064,2025-01-08,Tacoma,Puget Sound,Approach Shoe,Footwear,Fraser Valley Rubber,3,129.00,52.00,387.00,231.00,1022,Y
5065,2025-01-09,Portland Pearl,Willamette,Alpaca Base Layer,Apparel,Andes Alpaca Co-op,2,78.00,29.00,156.00,98.00,,N
5066,2025-01-09,Bellevue,Puget Sound,Ski Skins,Snow,Nordvik Outdoor,2,199.00,84.00,398.00,230.00,1017,Y
5067,2025-01-09,Seattle Flagship,Puget Sound,Sun Hoody,Apparel,Cascade Textiles,3,62.00,24.00,186.00,114.00,1045,Y
5068,2025-01-09,Seattle Flagship,Puget Sound,Merino Hiking Socks,Apparel,Andes Alpaca Co-op,2,20.40,8.50,40.80,23.80,1026,Y
5069,2025-01-09,Portland Pearl,Willamette,Trail Convertible Pant,Apparel,Cascade Textiles,1,89.00,36.00,89.00,53.00,1055,Y
5070,2025-01-09,Seattle Flagship,Puget Sound,Insulated Camp Bootie,Footwear,Andes Alpaca Co-op,1,59.00,22.00,59.00,37.00,1039,Y
5071,2025-01-09,Portland Pearl,Willamette,Snowshoe Kit,Snow,Kitsap Forge,2,179.00,76.00,358.00,206.00,1029,Y
5072,2025-01-10,Bellingham,North Cascades,Dynamic Rope 60m,Climbing,Nordvik Outdoor,1,239.00,98.00,239.00,141.00,,N
5073,2025-01-10,Seattle Flagship,Puget Sound,Cascade Camp Stove,Camping,Kitsap Forge,1,84.00,34.00,84.00,50.00,1052,Y
5074,2025-01-10,Bellingham,North Cascades,Snowshoe Kit,Snow,Kitsap Forge,2,179.00,76.00,358.00,206.00,1007,Y
5075,2025-01-10,Bellevue,Puget Sound,Backcountry Boot,Footwear,Fraser Valley Rubber,1,219.00,88.00,219.00,131.00,1034,Y
5076,2025-01-10,Spokane,Inland,Nimbus 0F Sleeping Bag,Camping,Olympic Down Works,1,339.00,138.00,339.00,201.00,1008,Y
5077,2025-01-10,Spokane,Inland,Nimbus 0F Sleeping Bag,Camping,Olympic Down Works,1,339.00,138.00,339.00,201.00,1051,Y
5078,2025-01-10,Seattle Flagship,Puget Sound,Avalanche Beacon,Snow,Nordvik Outdoor,1,399.00,178.00,399.00,221.00,1058,Y
5079,2025-01-10,Bellingham,North Cascades,Dynamic Rope 60m,Climbing,Nordvik Outdoor,1,239.00,98.00,239.00,141.00,,N
5080,2025-01-11,Bellingham,North Cascades,Approach Shoe,Footwear,Fraser Valley Rubber,2,109.65,52.00,219.30,115.30,1040,Y
5081,2025-01-11,Boise,Inland,Touring Ski Package,Snow,Nordvik Outdoor,1,949.00,412.00,949.00,537.00,1011,Y
5082,2025-01-11,Bellevue,Puget Sound,Inflatable Kayak,Water,Fraser Valley Rubber,1,699.00,289.00,699.00,410.00,1021,Y
5083,2025-01-11,Bellingham,North Cascades,Titanium Cook Set,Camping,Sanko Technical,3,115.00,47.00,345.00,204.00,1032,Y
5084,2025-01-11,Tacoma,Puget Sound,Backcountry Boot,Footwear,Fraser Valley Rubber,1,219.00,88.00,219.00,131.00,1025,Y
5085,2025-01-11,Portland Pearl,Willamette,Touring Ski Package,Snow,Nordvik Outdoor,1,949.00,412.00,949.00,537.00,1060,Y
5086,2025-01-11,Seattle Flagship,Puget Sound,Vertex Climbing Harness,Climbing,Kitsap Forge,2,105.00,43.00,210.00,124.00,1009,Y
5087,2025-01-12,Seattle Flagship,Puget Sound,Summit Shell Jacket,Apparel,Cascade Textiles,1,299.00,121.00,299.00,178.00,1047,Y
5088,2025-01-12,Bellevue,Puget Sound,PFD Vest,Water,Kitsap Forge,1,95.00,38.00,95.00,57.00,1036,Y
5089,2025-01-12,Portland Pearl,Willamette,Quickdraw Set of 6,Climbing,Nordvik Outdoor,2,155.00,62.00,310.00,186.00,1040,Y
5090,2025-01-12,Eugene,Willamette,Summit Shell Jacket,Apparel,Cascade Textiles,1,299.00,121.00,299.00,178.00,1059,Y
5091,2025-01-12,Eugene,Willamette,Approach Shoe,Footwear,Fraser Valley Rubber,3,129.00,52.00,387.00,231.00,1048,Y
5092,2025-01-12,Bellingham,North Cascades,Headlamp 400,Camping,Sanko Technical,3,44.00,16.00,132.00,84.00,1004,Y
5093,2025-01-12,Spokane,Inland,Ski Skins,Snow,Nordvik Outdoor,1,199.00,84.00,199.00,115.00,1013,Y
5094,2025-01-12,Bellevue,Puget Sound,Down Sweater,Apparel,Olympic Down Works,1,185.00,74.00,185.00,111.00,1019,Y
5095,2025-01-12,Bellingham,North Cascades,Cascade Camp Stove,Camping,Kitsap Forge,1,84.00,34.00,84.00,50.00,1050,Y
5096,2025-01-12,Bellingham,North Cascades,Merino Hiking Socks,Apparel,Andes Alpaca Co-op,1,24.00,8.50,24.00,15.50,1052,Y
5097,2025-01-13,Bellingham,North Cascades,Chalk Bag,Climbing,Kitsap Forge,1,22.10,9.00,22.10,13.10,,N
5098,2025-01-13,Bellevue,Puget Sound,Vertex Climbing Harness,Climbing,Kitsap Forge,2,105.00,43.00,210.00,124.00,1058,Y
5099,2025-01-13,Eugene,Willamette,Chalk Bag,Climbing,Kitsap Forge,3,26.00,9.00,78.00,51.00,1007,Y
5100,2025-01-13,Portland Pearl,Willamette,Ski Skins,Snow,Nordvik Outdoor,1,169.15,84.00,169.15,85.15,1038,Y
5101,2025-01-13,Portland Pearl,Willamette,Summit Shell Jacket,Apparel,Cascade Textiles,1,299.00,121.00,299.00,178.00,1045,Y
5102,2025-01-13,Bellevue,Puget Sound,Insulated Camp Bootie,Footwear,Andes Alpaca Co-op,2,50.15,22.00,100.30,56.30,1018,Y
5103,2025-01-14,Bellingham,North Cascades,Touring Ski Package,Snow,Nordvik Outdoor,1,949.00,412.00,949.00,537.00,1049,Y
5104,2025-01-14,Portland Pearl,Willamette,Insulated Camp Bootie,Footwear,Andes Alpaca Co-op,2,59.00,22.00,118.00,74.00,1014,Y
5105,2025-01-14,Seattle Flagship,Puget Sound,Alpaca Base Layer,Apparel,Andes Alpaca Co-op,3,78.00,29.00,234.00,147.00,,N
5106,2025-01-14,Portland Pearl,Willamette,Touring Ski Package,Snow,Nordvik Outdoor,1,949.00,412.00,949.00,537.00,1045,Y
5107,2025-01-14,Seattle Flagship,Puget Sound,Fleece Quarter-Zip,Apparel,Cascade Textiles,1,67.15,31.00,67.15,36.15,,N
5108,2025-01-14,Bellingham,North Cascades,Fleece Quarter-Zip,Apparel,Cascade Textiles,3,79.00,31.00,237.00,144.00,,N
5109,2025-01-14,Bellevue,Puget Sound,Belay Device,Climbing,Kitsap Forge,1,41.65,19.00,41.65,22.65,,N
5110,2025-01-14,Bellingham,North Cascades,Inflatable Kayak,Water,Fraser Valley Rubber,1,699.00,289.00,699.00,410.00,,N
5111,2025-01-15,Tacoma,Puget Sound,Touring Ski Package,Snow,Nordvik Outdoor,1,949.00,412.00,949.00,537.00,1022,Y
5112,2025-01-15,Bellingham,North Cascades,Chalk Bag,Climbing,Kitsap Forge,2,26.00,9.00,52.00,34.00,,N
5113,2025-01-15,Seattle Flagship,Puget Sound,Ski Skins,Snow,Nordvik Outdoor,1,169.15,84.00,169.15,85.15,1033,Y
5114,2025-01-15,Seattle Flagship,Puget Sound,Quickdraw Set of 6,Climbing,Nordvik Outdoor,1,155.00,62.00,155.00,93.00,1027,Y
5115,2025-01-15,Tacoma,Puget Sound,Belay Device,Climbing,Kitsap Forge,2,49.00,19.00,98.00,60.00,1024,Y
5116,2025-01-15,Bellevue,Puget Sound,Headlamp 400,Camping,Sanko Technical,3,44.00,16.00,132.00,84.00,1009,Y
5117,2025-01-15,Seattle Flagship,Puget Sound,Summit Shell Jacket,Apparel,Cascade Textiles,1,299.00,121.00,299.00,178.00,1035,Y
5118,2025-01-15,Seattle Flagship,Puget Sound,Ski Skins,Snow,Nordvik Outdoor,1,199.00,84.00,199.00,115.00,1033,Y
5119,2025-01-15,Bellevue,Puget Sound,Basecamp 65L Pack,Camping,Olympic Down Works,1,229.00,96.00,229.00,133.00,1042,Y
5120,2025-01-16,Spokane,Inland,Down Sweater,Apparel,Olympic Down Works,2,185.00,74.00,370.00,222.00,1010,Y
5121,2025-01-16,Spokane,Inland,Chalk Bag,Climbing,Kitsap Forge,3,26.00,9.00,78.00,51.00,1055,Y
5122,2025-01-16,Seattle Flagship,Puget Sound,Ski Skins,Snow,Nordvik Outdoor,2,169.15,84.00,338.30,170.30,1039,Y
5123,2025-01-16,Portland Pearl,Willamette,Headlamp 400,Camping,Sanko Technical,3,44.00,16.00,132.00,84.00,1011,Y
5124,2025-01-16,Bellevue,Puget Sound,Fleece Quarter-Zip,Apparel,Cascade Textiles,1,79.00,31.00,79.00,48.00,1029,Y
5125,2025-01-16,Spokane,Inland,Headlamp 400,Camping,Sanko Technical,3,44.00,16.00,132.00,84.00,1024,Y
5126,2025-01-16,Tacoma,Puget Sound,Dynamic Rope 60m,Climbing,Nordvik Outdoor,1,239.00,98.00,239.00,141.00,1025,Y
5127,2025-01-16,Portland Pearl,Willamette,Stormbreak Rain Jacket,Apparel,Cascade Textiles,1,169.00,68.00,169.00,101.00,1043,Y
5128,2025-01-16,Seattle Flagship,Puget Sound,Stormbreak Rain Jacket,Apparel,Cascade Textiles,1,143.65,68.00,143.65,75.65,1055,Y
5129,2025-01-17,Seattle Flagship,Puget Sound,Ridgeline 3P Tent,Camping,Cascade Textiles,1,419.00,168.00,419.00,251.00,1009,Y
5130,2025-01-17,Portland Pearl,Willamette,Approach Shoe,Footwear,Fraser Valley Rubber,1,129.00,52.00,129.00,77.00,1006,Y
5131,2025-01-17,Tacoma,Puget Sound,Summit Shell Jacket,Apparel,Cascade Textiles,1,299.00,121.00,299.00,178.00,,N
5132,2025-01-17,Eugene,Willamette,Ski Skins,Snow,Nordvik Outdoor,1,199.00,84.00,199.00,115.00,1006,Y
5133,2025-01-17,Spokane,Inland,Trail Runner GTX,Footwear,Fraser Valley Rubber,1,149.00,61.00,149.00,88.00,1005,Y
5134,2025-01-17,Portland Pearl,Willamette,Paddle Carbon,Water,Sanko Technical,1,279.00,112.00,279.00,167.00,1028,Y
5135,2025-01-17,Tacoma,Puget Sound,Down Sweater,Apparel,Olympic Down Works,2,185.00,74.00,370.00,222.00,,N
5136,2025-01-17,Tacoma,Puget Sound,Titanium Cook Set,Camping,Sanko Technical,2,97.75,47.00,195.50,101.50,1044,Y
5137,2025-01-18,Spokane,Inland,Fleece Quarter-Zip,Apparel,Cascade Textiles,1,79.00,31.00,79.00,48.00,1024,Y
5138,2025-01-18,Spokane,Inland,Sun Hoody,Apparel,Cascade Textiles,3,62.00,24.00,186.00,114.00,1001,Y
5139,2025-01-18,Tacoma,Puget Sound,Avalanche Beacon,Snow,Nordvik Outdoor,1,399.00,178.00,399.00,221.00,1036,Y
5140,2025-01-18,Seattle Flagship,Puget Sound,Ski Skins,Snow,Nordvik Outdoor,1,199.00,84.00,199.00,115.00,1043,Y
5141,2025-01-18,Boise,Inland,Approach Shoe,Footwear,Fraser Valley Rubber,2,129.00,52.00,258.00,154.00,1047,Y
5142,2025-01-19,Portland Pearl,Willamette,Fleece Quarter-Zip,Apparel,Cascade Textiles,3,79.00,31.00,237.00,144.00,1050,Y
5143,2025-01-19,Portland Pearl,Willamette,Avalanche Beacon,Snow,Nordvik Outdoor,1,399.00,178.00,399.00,221.00,1005,Y
5144,2025-01-19,Bellingham,North Cascades,Ski Skins,Snow,Nordvik Outdoor,1,199.00,84.00,199.00,115.00,1002,Y
5145,2025-01-19,Tacoma,Puget Sound,Inflatable Kayak,Water,Fraser Valley Rubber,1,699.00,289.00,699.00,410.00,,N
5146,2025-01-19,Seattle Flagship,Puget Sound,Alpaca Base Layer,Apparel,Andes Alpaca Co-op,1,78.00,29.00,78.00,49.00,1014,Y
5147,2025-01-19,Boise,Inland,Stormbreak Rain Jacket,Apparel,Cascade Textiles,1,169.00,68.00,169.00,101.00,1046,Y
5148,2025-01-19,Bellingham,North Cascades,Insulated Camp Bootie,Footwear,Andes Alpaca Co-op,2,59.00,22.00,118.00,74.00,1057,Y
5149,2025-01-19,Tacoma,Puget Sound,Alpaca Base Layer,Apparel,Andes Alpaca Co-op,1,78.00,29.00,78.00,49.00,1032,Y
5150,2025-01-19,Seattle Flagship,Puget Sound,Snowshoe Kit,Snow,Kitsap Forge,3,179.00,76.00,537.00,309.00,1056,Y
5151,2025-01-20,Seattle Flagship,Puget Sound,Stormbreak Rain Jacket,Apparel,Cascade Textiles,1,169.00,68.00,169.00,101.00,1040,Y
5152,2025-01-20,Seattle Flagship,Puget Sound,Summit Shell Jacket,Apparel,Cascade Textiles,1,299.00,121.00,299.00,178.00,1049,Y
5153,2025-01-20,Bellevue,Puget Sound,Headlamp 400,Camping,Sanko Technical,1,44.00,16.00,44.00,28.00,1005,Y
5154,2025-01-20,Seattle Flagship,Puget Sound,Insulated Camp Bootie,Footwear,Andes Alpaca Co-op,2,59.00,22.00,118.00,74.00,1037,Y
5155,2025-01-20,Bellevue,Puget Sound,Avalanche Beacon,Snow,Nordvik Outdoor,1,339.15,178.00,339.15,161.15,1057,Y
5156,2025-01-20,Tacoma,Puget Sound,Alpaca Base Layer,Apparel,Andes Alpaca Co-op,1,78.00,29.00,78.00,49.00,1044,Y
5157,2025-01-20,Portland Pearl,Willamette,PFD Vest,Water,Kitsap Forge,2,95.00,38.00,190.00,114.00,1055,Y
5158,2025-01-20,Bellevue,Puget Sound,Alpaca Base Layer,Apparel,Andes Alpaca Co-op,1,78.00,29.00,78.00,49.00,1017,Y
5159,2025-01-20,Portland Pearl,Willamette,Snowshoe Kit,Snow,Kitsap Forge,3,152.15,76.00,456.45,228.45,1003,Y
5160,2025-01-20,Seattle Flagship,Puget Sound,Snowshoe Kit,Snow,Kitsap Forge,1,179.00,76.00,179.00,103.00,,N
5161,2025-01-20,Seattle Flagship,Puget Sound,Nimbus 0F Sleeping Bag,Camping,Olympic Down Works,1,339.00,138.00,339.00,201.00,1029,Y
5162,2025-01-20,Spokane,Inland,Summit Shell Jacket,Apparel,Cascade Textiles,1,299.00,121.00,299.00,178.00,1046,Y
5163,2025-01-20,Eugene,Willamette,Touring Ski Package,Snow,Nordvik Outdoor,1,949.00,412.00,949.00,537.00,,N
5164,2025-01-21,Seattle Flagship,Puget Sound,Snowshoe Kit,Snow,Kitsap Forge,1,152.15,76.00,152.15,76.15,1059,Y
5165,2025-01-21,Seattle Flagship,Puget Sound,Sun Hoody,Apparel,Cascade Textiles,1,62.00,24.00,62.00,38.00,1011,Y
5166,2025-01-21,Tacoma,Puget Sound,Dynamic Rope 60m,Climbing,Nordvik Outdoor,1,239.00,98.00,239.00,141.00,1048,Y
5167,2025-01-21,Seattle Flagship,Puget Sound,Snowshoe Kit,Snow,Kitsap Forge,2,179.00,76.00,358.00,206.00,1058,Y
5168,2025-01-21,Tacoma,Puget Sound,Avalanche Beacon,Snow,Nordvik Outdoor,1,399.00,178.00,399.00,221.00,1057,Y
5169,2025-01-21,Seattle Flagship,Puget Sound,Touring Ski Package,Snow,Nordvik Outdoor,1,949.00,412.00,949.00,537.00,1021,Y
5170,2025-01-21,Bellingham,North Cascades,Basecamp 65L Pack,Camping,Olympic Down Works,1,229.00,96.00,229.00,133.00,1015,Y
5171,2025-01-21,Portland Pearl,Willamette,Ridgeline 2P Tent,Camping,Cascade Textiles,1,349.00,142.00,349.00,207.00,1022,Y
5172,2025-01-22,Seattle Flagship,Puget Sound,Nimbus 20F Sleeping Bag,Camping,Olympic Down Works,1,259.00,104.00,259.00,155.00,1054,Y
5173,2025-01-22,Boise,Inland,Chalk Bag,Climbing,Kitsap Forge,1,26.00,9.00,26.00,17.00,1044,Y
5174,2025-01-22,Bellevue,Puget Sound,Avalanche Beacon,Snow,Nordvik Outdoor,1,399.00,178.00,399.00,221.00,1052,Y
5175,2025-01-22,Eugene,Willamette,Vertex Climbing Harness,Climbing,Kitsap Forge,1,105.00,43.00,105.00,62.00,,N
5176,2025-01-22,Bellevue,Puget Sound,Inflatable Kayak,Water,Fraser Valley Rubber,1,699.00,289.00,699.00,410.00,1016,Y
5177,2025-01-22,Bellevue,Puget Sound,Alpaca Base Layer,Apparel,Andes Alpaca Co-op,1,78.00,29.00,78.00,49.00,1005,Y
5178,2025-01-22,Portland Pearl,Willamette,Chalk Bag,Climbing,Kitsap Forge,3,26.00,9.00,78.00,51.00,1009,Y
5179,2025-01-22,Spokane,Inland,Avalanche Beacon,Snow,Nordvik Outdoor,1,399.00,178.00,399.00,221.00,1030,Y
5180,2025-01-23,Portland Pearl,Willamette,Basecamp 65L Pack,Camping,Olympic Down Works,1,229.00,96.00,229.00,133.00,1034,Y
5181,2025-01-23,Portland Pearl,Willamette,Dynamic Rope 60m,Climbing,Nordvik Outdoor,1,239.00,98.00,239.00,141.00,1039,Y
5182,2025-01-23,Bellingham,North Cascades,Trailhead Sleeping Pad,Camping,Sanko Technical,2,99.00,41.00,198.00,116.00,,N
5183,2025-01-23,Seattle Flagship,Puget Sound,Nimbus 0F Sleeping Bag,Camping,Olympic Down Works,1,339.00,138.00,339.00,201.00,1020,Y
5184,2025-01-23,Portland Pearl,Willamette,Summit Shell Jacket,Apparel,Cascade Textiles,1,299.00,121.00,299.00,178.00,1044,Y
5185,2025-01-24,Portland Pearl,Willamette,Down Sweater,Apparel,Olympic Down Works,1,185.00,74.00,185.00,111.00,1058,Y
5186,2025-01-24,Portland Pearl,Willamette,Merino Hiking Socks,Apparel,Andes Alpaca Co-op,1,24.00,8.50,24.00,15.50,1008,Y
5187,2025-01-24,Tacoma,Puget Sound,Nimbus 0F Sleeping Bag,Camping,Olympic Down Works,1,339.00,138.00,339.00,201.00,1057,Y
5188,2025-01-24,Boise,Inland,Quickdraw Set of 6,Climbing,Nordvik Outdoor,2,155.00,62.00,310.00,186.00,1045,Y
5189,2025-01-24,Seattle Flagship,Puget Sound,Nimbus 0F Sleeping Bag,Camping,Olympic Down Works,1,339.00,138.00,339.00,201.00,1030,Y
5190,2025-01-24,Bellevue,Puget Sound,Backcountry Boot,Footwear,Fraser Valley Rubber,1,219.00,88.00,219.00,131.00,1011,Y
5191,2025-01-24,Bellingham,North Cascades,Snowshoe Kit,Snow,Kitsap Forge,1,179.00,76.00,179.00,103.00,1058,Y
5192,2025-01-24,Tacoma,Puget Sound,Belay Device,Climbing,Kitsap Forge,2,49.00,19.00,98.00,60.00,1025,Y
5193,2025-01-25,Seattle Flagship,Puget Sound,Fleece Quarter-Zip,Apparel,Cascade Textiles,1,79.00,31.00,79.00,48.00,1055,Y
5194,2025-01-25,Portland Pearl,Willamette,Snowshoe Kit,Snow,Kitsap Forge,3,179.00,76.00,537.00,309.00,1054,Y
